publications2	entries	PMID
Several publications on HGMD in patients with Spondylometaphyseal dysplasia with cone-rod dystrophy	52237	None
Shah et al 2012 Dev Med Child Neurol 54:569-574	2841	22574627
Shaw-Smith et al 2012 Pediatr Diabetes 13:314-321	14549	22369132
Shen et al 2010 Nature Genet 423: 245-251	15547;39396;56971	20118933
Shimazaki et al. 2012	728;22040	23188110
Simpson et al. 2003	22085	14564668
Slabicki et al. 2010 i	659;22104	20613862
Smith et al 2010 Nature 463:775-780	14548	20148032
Spiegal et al 2011 AM J Med Genet 155:2821-2825	14548	21965172
Spiegel et al2011 J. Med. Genet. 48: 177-182 21147908	3028	21147908
Steiner et al 2000 Am J Med Genet 91:131-134	2978	10748412
Steinkeller et al 2015 Eur J Hum Genet 23:1186-1191	2825	25469541
Stevanin G	22133	17322883
Stevanin et al. 2007	22084	17322883
"Stuart HM, Roberts NA, Bergu B, Daly SB, Urquhart JE, Bhaskar S, Dickerson J, Mermerkaya M, Silay MS, Lewis MA, Olondriz BO, Gener B, Beetz C, Varga RE, G lp nar O, S er E, Yal nkaya F, G c k A, Yue WW, Erdogan F, Berry A, Hanley NA, McKenzie EA, Hilton EN, Woolf AS, Newman WG. LRIG2 mutations cause urofacial syndrome. Am J Hum Genet 92:259-264, 2013."	48141;58200	23313374
Sun et al 2005 J Med Genet 42:706-710	2851	16141006
"Takagi, M. ESPE Abstracts 2015 84 P-1-120, Hormone Research in Paediatrics Volume 82 Supplement 1"	22499	None
Tamagaki et al. 2000	22126	10982474
Tanaka et al 2008 Am J Hum Genet 82: 1249_1261	15336;37261;56352	18514161
Tao et al 2004 Am J Hum Genet 75: 1149-1154	15216;36083;56061	15499549
Tesson et al. 2012	745;751;22044;22046	23176821
"The Metabolic and Molecular Bases of Inherited Disease. Vol. IV. 8th ed.Benson, M. D. Amyloidosis. In: Scriver, C. R et al.: New York: McGraw-Hill . 2001"	44682;94813;100738	None
"The Metabolic and Molecular Bases of Inherited Disease. Vol. IV. 8th ed.Benson, M. D. Amyloidosis. In: Scriver, C. R et al.: New York: McGraw-Hill . 2001."	44992	None
"Thevenon et al 2014 AJHG 95, 113 120"	15619;40088;57134	24995870
"Torkamani et al 2014 Ann. Neurol. 76: 529-540, 2014"	15405;37947;56534	25164438
Travaglini et al 2013 Phenotypic spectrum and prevalence of INPP5E mutations in Joubert syndrome and related disorders. Eur J Hum Genet.  Oct	52183	23386033
Tsaousidou et al. 2008 i	569	18252231
Tsurusaki et al 2002 Nature 30: 441-445	15171;35603;55955	None
UKGTN	27176	None
Valdmanis et al. 2007	944	17160902
"Valente, E. 2002"	22127	12112072
Vanita et al 2009 Mol Vis 15:476-481	2851	19262743
Vazza G 2000	22125	10877981
Vega et al 2010 J. Med. Genet. 47: 30-37.	2973	19574259
Verkerk et al. 2009	704;22033	19559397
Version 12 ukgtn.nhs.uk	9139;26556;30058;43755	None
Wagenstaller et al 2007 Am J Hum Genet 81: 768-779	15444;38344;56629	17847001
Wan et al 1999 Am J Hum Genet 5: 1520_1529	15447;38374;56637	10577905
Wan et al 2011 Brain 134: 3493_3501	15561;39554;57013	22120146
